EnsembleID,symbol,log2FoldChange,pvalue,padj,Regulation
ENSG00000103995.9,CEP152,0.846980605686729,2.4295520605820103e-09,5.41578005758468e-07,Upregulated
ENSG00000069869.11,NEDD4,1.06507591357943,2.5840510732403e-09,5.62274408269947e-07,Upregulated
ENSG00000145685.9,LHFPL2,0.950725497502087,2.6013277251743803e-09,5.62274408269947e-07,Upregulated
ENSG00000203952.5,CCDC160,0.992963830630381,2.5866843736708504e-09,5.62274408269947e-07,Upregulated
ENSG00000270164.1,AC006129.4,1.67357412071117,2.6065670104197703e-09,5.62274408269947e-07,Upregulated
ENSG00000164707.10,SLC13A4,2.04760341368223,2.6880667488009603e-09,5.7196765737555e-07,Upregulated
ENSG00000187134.8,AKR1C1,1.03540828994747,2.7700924429204604e-09,5.84989371761706e-07,Upregulated
ENSG00000182885.12,GPR97,2.04206911153397,2.85106068482857e-09,5.97595085483433e-07,Upregulated
ENSG00000259040.2,BLOC1S5-TXNDC5,1.90247381723248,2.9964631477273903e-09,6.23419706890513e-07,Upregulated
ENSG00000179593.11,ALOX15B,1.50154788951853,3.1052009267282304e-09,6.41292488448646e-07,Upregulated
ENSG00000127993.10,RBM48,0.780886249304017,3.2422325553516702e-09,6.59888302769292e-07,Upregulated
ENSG00000166527.3,CLEC4D,2.67144454744941,3.23871079083356e-09,6.59888302769292e-07,Upregulated
ENSG00000155324.5,GRAMD3,1.11216087006104,3.7233474557245605e-09,7.46983285635254e-07,Upregulated
ENSG00000119950.16,MXI1,0.610427667966126,3.8442404719729504e-09,7.65767249193646e-07,Upregulated
ENSG00000260645.1,RP11-250B2.5,0.896573591223184,4.2515817689422405e-09,8.23546049270902e-07,Upregulated
ENSG00000148498.11,PARD3,1.15994037892313,4.3899600348658e-09,8.34041451657202e-07,Upregulated
ENSG00000166535.15,A2ML1,1.29100946080763,4.51333897278324e-09,8.42127635390822e-07,Upregulated
ENSG00000170545.12,SMAGP,1.14406406077693,4.925813688256111e-09,9.10206112250325e-07,Upregulated
ENSG00000143226.8,FCGR2A,1.67744873612483,5.32403370347298e-09,9.77360357055201e-07,Upregulated
ENSG00000067048.12,DDX3Y,0.714764204984622,5.64901352477627e-09,1.03028469396358e-06,Upregulated
ENSG00000255986.2,MT1JP,2.16227391069414,5.84773105913593e-09,1.05285398883302e-06,Upregulated
ENSG00000123094.11,RASSF8,0.873822940282841,6.51604819813784e-09,1.14717675829844e-06,Upregulated
ENSG00000125733.13,TRIP10,1.17575497964456,6.5349906123028506e-09,1.14717675829844e-06,Upregulated
ENSG00000167244.12,IGF2,2.05253052406897,7.2120475612460306e-09,1.25039987563406e-06,Upregulated
ENSG00000113328.14,CCNG1,0.632548718421635,7.2737190171945605e-09,1.25317915369869e-06,Upregulated
ENSG00000124440.11,HIF3A,1.43202269825026,7.317313390771e-09,1.25317915369869e-06,Upregulated
ENSG00000205358.3,MT1H,2.00230048086997,7.58708398525311e-09,1.29150562359881e-06,Upregulated
ENSG00000128713.11,HOXD11,2.85004020308549,7.835189755117211e-09,1.32570466657817e-06,Upregulated
ENSG00000115825.5,PRKD3,0.80476420908965,8.108389420905381e-09,1.36371457284413e-06,Upregulated
ENSG00000116678.14,LEPR,1.40482055188608,8.93218167083065e-09,1.48448631117527e-06,Upregulated
ENSG00000055208.12,TAB2,0.647701851951835,9.16284529959674e-09,1.51386374076337e-06,Upregulated
ENSG00000135378.3,PRRG4,1.44447411917789,9.6325643149985e-09,1.58216277143487e-06,Upregulated
ENSG00000136872.12,ALDOB,1.16161652687604,9.734696373881471e-09,1.58964195961168e-06,Upregulated
ENSG00000119729.6,RHOQ,0.66199537525756,9.90734640020181e-09,1.60848345862698e-06,Upregulated
ENSG00000178573.6,MAF,0.827600973292444,1.01645230739725e-08,1.6407526412567e-06,Upregulated
